轮次,学习率,训练损失,训练准确率,验证损失,验证准确率,本轮耗时（秒）,累计耗时（秒）
210,0.010000000000000002,0.0074481368964331015,0.9981111111111111,0.26599309811592103,0.9368,21.86420419999922,4760.935057800001
211,0.010000000000000002,0.007951372541901138,0.9980222222222223,0.24680196365118026,0.942,21.864889000000403,4782.8000679
212,0.010000000000000002,0.007496889988374379,0.9985111111111111,0.2534472885370255,0.9412,21.8246951000001,4804.624887400001
213,0.010000000000000002,0.0070714843860723905,0.9986444444444444,0.2609082285404205,0.939,21.909426500000336,4826.5344284
214,0.010000000000000002,0.008367160307947132,0.9979555555555556,0.26797512138485907,0.9386,21.912663000000975,4848.4472124
215,0.010000000000000002,0.008640345180324383,0.9980444444444444,0.26847906546592715,0.9394,21.838203900000735,4870.2855249
216,0.010000000000000002,0.007841133875896533,0.9984,0.255873126834631,0.9394,21.862851699999737,4892.1485144
217,0.010000000000000002,0.0071505407181258005,0.9985777777777778,0.2587246970653534,0.9406,21.846813599999223,4913.9954519
218,0.010000000000000002,0.00803248026325471,0.9984666666666666,0.2654674017906189,0.9406,21.872270600000775,4935.8678444
219,0.010000000000000002,0.011279386490335067,0.9973111111111111,0.2633373830974102,0.9416,21.818910300000425,4957.6868765
220,0.010000000000000002,0.0093216408331775,0.9978444444444444,0.2609509253025055,0.9404,21.84406570000101,4979.531062400001
221,0.010000000000000002,0.013703823588043451,0.9964,0.2529658688902855,0.9422,21.89899879999939,5001.430174200001
222,0.010000000000000002,0.00902319806049733,0.9981111111111111,0.2575848961532116,0.9402,21.9188393000004,5023.349119
223,0.010000000000000002,0.008418640826228592,0.9981111111111111,0.31944932634830475,0.9294,21.834895100000722,5045.1841269
224,0.010000000000000002,0.01599925702721812,0.9952888888888889,0.2588352402448654,0.939,21.905071700000917,5067.0893115
225,0.010000000000000002,0.009658099910347826,0.9976888888888888,0.2627579160094261,0.9398,21.828642300000865,5088.9180755
226,0.0010000000000000002,0.00741111270085805,0.9982666666666666,0.24868028203248976,0.9424,21.831063400000858,5110.749247600001
227,0.0010000000000000002,0.0061305318452831775,0.9985777777777778,0.24097849736213683,0.9432,21.851067499999772,5132.600443200001
228,0.0010000000000000002,0.005911465800781217,0.9986444444444444,0.24323173990249633,0.9446,21.89050010000028,5154.4910607
229,0.0010000000000000002,0.005152421020116243,0.9992444444444445,0.24077324488759042,0.9442,21.968292999999903,5176.4594832
230,0.0010000000000000002,0.004561111198536431,0.9992888888888889,0.2438804602742195,0.9432,21.93569110000135,5198.3952974
231,0.0010000000000000002,0.004493701239965028,0.9992888888888889,0.24017560315132142,0.9432,21.844113900000593,5220.2395177
232,0.0010000000000000002,0.00451948173975365,0.9992444444444445,0.2356638256251812,0.9434,21.808339299999716,5242.047967100001
233,0.0010000000000000002,0.004436758424196806,0.9991111111111111,0.23934800955057145,0.9426,21.8558907000006,5263.9039827
234,0.0010000000000000002,0.004208241921518412,0.9992666666666666,0.235843842792511,0.9432,21.88133209999978,5285.7854374
235,0.0010000000000000002,0.003924304655463331,0.9992888888888889,0.23435634002685546,0.9416,21.815689900000507,5307.6012462
236,0.0010000000000000002,0.003500819931510422,0.9995777777777778,0.24038837673068048,0.9434,21.830013800001325,5329.4313795
237,0.0010000000000000002,0.0038564050826761457,0.9995333333333334,0.23613962831497193,0.9428,21.814125599999898,5351.2456329
238,0.0010000000000000002,0.003790517449420359,0.9994444444444445,0.23485880608558654,0.9448,21.91352790000019,5373.1592702
239,0.0010000000000000002,0.003527443303157472,0.9995333333333334,0.23645915809869766,0.9442,21.826180100000784,5394.9855766
240,0.0010000000000000002,0.0035025715271631876,0.9996,0.23579886080026627,0.9444,21.837914900001124,5416.823612100001
241,0.0010000000000000002,0.0034252611759843098,0.9996444444444444,0.23300956252217292,0.944,21.86233429999993,5438.6860719
242,0.0010000000000000002,0.003660012830214368,0.9994888888888889,0.2383097464799881,0.9444,21.82894320000014,5460.515134500001
243,0.0010000000000000002,0.003620855844434765,0.9994666666666666,0.23477928490638733,0.9436,21.84509419999995,5482.3603506
244,0.0010000000000000002,0.003707700857375231,0.9994666666666666,0.23710951013565063,0.9444,21.85745769999994,5504.2179335
245,0.0010000000000000002,0.0036148227852148313,0.9994666666666666,0.23527368026971818,0.944,21.873030200000358,5526.091093500001
246,0.0010000000000000002,0.0035674029115794433,0.9994444444444445,0.24030107184648514,0.945,21.89269720000084,5547.9839097
